iter	Passed	Remaining
0	0	77
1	1	69
2	2	65
3	2	60
4	3	60
5	3	59
6	4	59
7	5	59
8	5	58
9	6	57
10	7	56
11	7	56
12	8	55
13	8	54
14	9	54
15	10	53
16	10	53
17	11	52
18	12	52
19	12	51
20	13	51
21	14	51
22	15	50
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	19	46
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	23	42
35	23	42
36	24	42
37	25	41
38	26	41
39	27	40
40	27	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
